"questId[String]","name[String]","description[String]","count[Int]"
"Welcome","You've Got Mail !","Find your mailbox and open it.","0"
"Welcome","Welcome to Loot MMO!","Close your mailbox to collect a special item.","0"
"WelcomeCoryprian","Fallen Kingdom","Welcome to Cyprian, once a peaceful kingdom ruled by a great king who is a fair ruler and takes great care to listen to the concerns and needs of his people.","0"
"TestQuest","Check the NPC","NPC checkout","0"
"LostKnight","Find the Lost Knight","Red Knight asking you to find his brother Blue Knight. He was after something related with sigils. His last known location was around Dragon's Volcano.","0"
"Map","Find Map Pieces","1 of 3 found","0"
"Map","Find Map Pieces","2 of 3 found","0"
"Map","Map of Adventurers","Assemble the Map of Adventurers onto the central table.","0"
"Sigils","Find the Sigil of Rage","Get into Dragon's Lair !","0"
"Sigils","Find the Sigil of Titan","Find the first Sigil of Lootverse.","0"
"Sigils","Find the Sigil of Protection","Check the Ruined City of Old Kingdom !","0"
"Sigils","Find the Sigil of Anger","Search the Cave of Lost souls, last known location was there with Lost King!","0"
"Sigils","Find the Sigil of Enlightenment","Ask to Old Knight in Orcish Barrack.","0"
"Sigils","Find the Sigil of Vitriol","I heard it is somewhere in old mines where 
undeads are.","0"
"Sigils","Find the Sigil of Skill","Location is Unknown.","0"
"Sigils","Find the Sigil of Brilliance","Rumors says it's inside an big old Cave","0"
"Sigils","Find the Sigil of Perfection","Location is Unknown.","0"
"Sigils","Find the Sigil of Giants","Location is Unknown.","0"
"Sigils","Find the Sigil of Power","Rumors says it's inside a house in Fallen Kingdom.","0"
"Sigils","Find the Sigil of The Twins","Location is Unknown.","0"
"Sigils","Find the Sigil of Reflection","Location is Unknown.","0"
"Sigils","Find the Sigil of Detection","Location is Unknown.","0"
"Sigils","Find the Sigil of Fox","Find the Fox Cave and you will Find the Sigil.","0"
"Sigils","Find the Sigil of Fury","Some Travelers has seen that sigil around Raptor Nest.","0"
"Raid1","First Adventure","Interact with the central table to access the Map of Adventures.","0"
"Raid1","First Adventure","Press [Play] on the Map to begin an adventure.","0"
"Raid1","First Adventure","Complete ""Beast Control"" and claim its reward.","0"
"Raid1","First Adventure","Press [T] to summon a portal back to the tavern.","0"
